label,RMSE,MAE,MAPE,MASE
TimesFM_ZS,3364.957441558999,2994.965672286149,12.643507605869061,0.8064622435717809
TimesFM_LoRA,3426.546406971139,3056.7682505021935,13.09479475193063,0.8109547922448248
TTM_FT,3800.452233823335,3405.1890763236297,15.23022968378752,0.9309244274951589
TTM_ZS,8198.513812821591,7884.901596621789,44.156821659367715,2.1841604040980402
