RMSE,MAE,MAPE,MASE,model,variant,window,cutoff,item_id,n
9880.897633862527,8346.954103687553,12.24308898364073,1.403363206507196,timesfm,xreg_static,1,-3,apple_fuji_box10kg_high,3
5438.201843614837,5378.727676717438,21.47028389603803,1.5636488406731046,timesfm,xreg_static,1,-3,apple_fuji_box10kg_low,3
5482.351046552173,3907.5832319468464,9.562262353166505,0.8734365120205273,timesfm,xreg_static,1,-3,apple_fuji_box10kg_mid,3
33276.127139026656,23853.87508348717,32.88580592675843,2.5005621500045803,timesfm,xreg_static,1,-3,apple_fuji_box10kg_premium,3
1352.1815332682093,1090.8057438543026,16.681127366277313,0.7359785021124303,timesfm,xreg_static,1,-3,cabbage_net8kg_high,3
202.63234430257626,165.7284036457501,5.007728273920268,0.16219283329525647,timesfm,xreg_static,1,-3,cabbage_net8kg_low,3
252.67292047307743,184.31270349630844,3.9488174302094987,0.1388659970534213,timesfm,xreg_static,1,-3,cabbage_net8kg_mid,3
3138.688147031994,2917.724197287556,31.744022923448007,1.8149730568481486,timesfm,xreg_static,1,-3,cabbage_net8kg_premium,3
3606.4214868197823,3426.201086580786,11.738410514637042,0.757019231511304,timesfm,xreg_static,1,-3,carrot_box20kg_high,3
5251.629815213755,4699.978381218954,22.88673619606548,1.3005236759072565,timesfm,xreg_static,1,-3,carrot_box20kg_low,3
4273.958629328972,4046.005265807448,15.601618885719937,0.9590153274991112,timesfm,xreg_static,1,-3,carrot_box20kg_mid,3
1795.612577342367,1707.7861321746452,21.377022433068937,0.4519323097238161,timesfm,xreg_static,1,-3,crown_daisy_box4kg_high,3
1032.7995126573928,992.2104913260695,21.571229957401094,0.34678115567263,timesfm,xreg_static,1,-3,crown_daisy_box4kg_low,3
1463.2402723009864,1295.7019776236675,21.364427708473666,0.3742404463551565,timesfm,xreg_static,1,-3,crown_daisy_box4kg_mid,3
5040.0606540302415,4150.216731161078,6.183402223838284,0.32877857115206427,timesfm,xreg_static,1,-3,cucumber_bdadagi_ea100_high,3
2923.767370919527,2355.050354962356,4.982673372803244,0.3292115035971759,timesfm,xreg_static,1,-3,cucumber_bdadagi_ea100_low,3
5913.678000900689,5365.307248367283,8.995622677157321,0.5315105494276594,timesfm,xreg_static,1,-3,cucumber_bdadagi_ea100_mid,3
4560.014448716382,3391.855842675451,4.480136977886073,0.2356391679730993,timesfm,xreg_static,1,-3,cucumber_bdadagi_ea100_premium,3
351.85613313774627,345.12516420075053,13.130652401436837,0.6871035369357839,timesfm,xreg_static,1,-3,garlic_chive_bundle500g_high,3
114.5148045268001,99.86897797152695,7.9015159371440475,0.3017387875712467,timesfm,xreg_static,1,-3,garlic_chive_bundle500g_low,3
233.94311903603085,229.24525449171134,12.15141461480153,0.5333072588636506,timesfm,xreg_static,1,-3,garlic_chive_bundle500g_mid,3
3136.684001711909,2997.5078929077813,31.926993973938973,0.8754976084642285,timesfm,xreg_static,1,-3,honewort_kg4_high,3
1576.867097706007,1489.7857020696702,20.257658307853298,0.5026042719630465,timesfm,xreg_static,1,-3,honewort_kg4_low,3
1821.476842534405,1683.2852737047917,19.42967513492698,0.513682403744356,timesfm,xreg_static,1,-3,honewort_kg4_mid,3
445.0481621447349,430.2606670983284,4.605911301551754,0.2910235968060804,timesfm,xreg_static,1,-3,napa_cabbage_net10kg_high,3
423.0689071921339,391.4057241393918,8.613307848868024,0.44092516784633035,timesfm,xreg_static,1,-3,napa_cabbage_net10kg_low,3
