item_id,TTM_FT,TTM_ZS,TimesFM_LoRA,TimesFM_ZS,TimesFM_xreg_a,TimesFM_xreg_b,TimesFM_xreg_static,winner
apple_fuji_box10kg_high,2.021430133772169,2.88060649950181,1.9466532183341732,1.9097850398747604,1.8961668740717468,2.2297816932575167,1.8982613495791179,TimesFM_xreg_a
apple_fuji_box10kg_low,1.1621468777572728,1.7882791142818613,1.1375619362029765,1.1552336866305373,1.1761415657182648,1.2617546562094855,1.175731595752301,TimesFM_LoRA
apple_fuji_box10kg_mid,1.339660231706714,2.088000331279816,1.2921851744608395,1.2870695153665552,1.3065616327808574,1.5176840388102741,1.3068586058304352,TimesFM_ZS
apple_fuji_box10kg_premium,2.418993324421918,3.3616128268155894,2.274186238188871,2.2375393139303608,2.2544015088636433,2.5299705600585773,2.254653160577538,TimesFM_ZS
cabbage_net8kg_high,0.8827656250539946,2.052794640565657,0.8223926719074125,0.7770281456707602,0.8228589600770714,1.0124822661210997,0.8258077318200955,TimesFM_ZS
cabbage_net8kg_low,1.0415749519334645,2.122480316425704,0.9693869878970598,0.9115628894183515,0.9506301610895255,1.1611301312911757,0.9525909178176074,TimesFM_ZS
cabbage_net8kg_mid,0.9634535075380034,1.9829497990919993,0.8654816156272833,0.8360714033940805,0.8905907080177515,1.0642839242125284,0.8935132399135324,TimesFM_ZS
cabbage_net8kg_premium,0.89020168086137,2.10436506191828,0.8027737158683753,0.7981137350019785,0.8552489115235714,0.9800068250705128,0.8590854487794408,TimesFM_ZS
carrot_box20kg_high,1.046762064028858,2.9793394794035812,0.7451249185895804,0.7432519337842549,0.8101511551417584,1.2206753010416547,0.8141258347432683,TimesFM_ZS
carrot_box20kg_low,1.2118574523606713,2.500042866307712,0.9859053319730506,0.9877921949872728,1.0584172748160814,1.3561656166050846,1.0609900943650261,TimesFM_LoRA
carrot_box20kg_mid,0.924182985091895,2.5834881056095007,0.7000162085215321,0.6783847160975316,0.7410506516919005,1.0222016347542349,0.7444190647035933,TimesFM_ZS
crown_daisy_box4kg_high,1.1718015959785513,2.920221905852441,0.9096274720224755,0.9345513124520148,1.0532826744974462,1.2990826739312378,1.0595181902618593,TimesFM_LoRA
crown_daisy_box4kg_low,1.093643678885164,2.2251431878504104,0.9679061722040458,1.0091199024363757,1.0696843527695505,1.1928516008757226,1.07426808556326,TimesFM_LoRA
crown_daisy_box4kg_mid,1.120178231509877,2.702352856638807,0.915726279853502,0.9355875550313508,1.0453785555594184,1.2430312251774291,1.051377430488519,TimesFM_LoRA
cucumber_bdadagi_ea100_high,0.5812269804787509,1.6851749356215897,0.5762946224308263,0.5248403935146982,0.5590310266744738,0.6418654763565511,0.5613589265402494,TimesFM_ZS
cucumber_bdadagi_ea100_low,0.6423105281266367,1.7197422757259944,0.5769931487452717,0.5769075261407273,0.6497199665658969,0.7045636790570916,0.6538387014171483,TimesFM_ZS
cucumber_bdadagi_ea100_mid,0.5971826249945431,1.6341265759563974,0.6256201024822771,0.584639884187908,0.6180453142191407,0.6738845174661425,0.6205050273518825,TimesFM_ZS
cucumber_bdadagi_ea100_premium,0.591579016275857,1.8045588571620848,0.5699173268941832,0.4904388518573124,0.5176679993916528,0.6560067967795131,0.521186772538234,TimesFM_ZS
garlic_chive_bundle500g_high,0.7775981848863854,1.886681670863251,0.6159508916226728,0.6578269706692915,0.7052943416469647,0.9130269360010885,0.7107571463170987,TimesFM_LoRA
garlic_chive_bundle500g_low,0.7798143190866502,1.821079700235461,0.6917125980714011,0.7058734323974335,0.7471427535847677,0.9519370522199432,0.7524471080952191,TimesFM_LoRA
