item_id,TTM_FT,TTM_ZS,TimesFM_LoRA,TimesFM_ZS,winner
apple_fuji_box10kg_high,2.021430133772169,2.88060649950181,1.9466532183341732,1.9097850398747604,TimesFM_ZS
apple_fuji_box10kg_low,1.1621468777572728,1.7882791142818613,1.1375619362029765,1.1552336866305373,TimesFM_LoRA
apple_fuji_box10kg_mid,1.339660231706714,2.088000331279816,1.2921851744608395,1.2870695153665552,TimesFM_ZS
apple_fuji_box10kg_premium,2.418993324421918,3.3616128268155894,2.274186238188871,2.2375393139303608,TimesFM_ZS
cabbage_net8kg_high,0.8827656250539946,2.052794640565657,0.8223926719074125,0.7770281456707602,TimesFM_ZS
cabbage_net8kg_low,1.0415749519334645,2.122480316425704,0.9693869878970598,0.9115628894183515,TimesFM_ZS
cabbage_net8kg_mid,0.9634535075380034,1.9829497990919993,0.8654816156272833,0.8360714033940805,TimesFM_ZS
cabbage_net8kg_premium,0.89020168086137,2.10436506191828,0.8027737158683753,0.7981137350019785,TimesFM_ZS
carrot_box20kg_high,1.046762064028858,2.9793394794035812,0.7451249185895804,0.7432519337842549,TimesFM_ZS
carrot_box20kg_low,1.2118574523606713,2.500042866307712,0.9859053319730506,0.9877921949872728,TimesFM_LoRA
carrot_box20kg_mid,0.924182985091895,2.5834881056095007,0.7000162085215321,0.6783847160975316,TimesFM_ZS
crown_daisy_box4kg_high,1.1718015959785513,2.920221905852441,0.9096274720224755,0.9345513124520148,TimesFM_LoRA
crown_daisy_box4kg_low,1.093643678885164,2.2251431878504104,0.9679061722040458,1.0091199024363757,TimesFM_LoRA
crown_daisy_box4kg_mid,1.120178231509877,2.702352856638807,0.915726279853502,0.9355875550313508,TimesFM_LoRA
cucumber_bdadagi_ea100_high,0.5812269804787509,1.6851749356215897,0.5762946224308263,0.5248403935146982,TimesFM_ZS
cucumber_bdadagi_ea100_low,0.6423105281266367,1.7197422757259944,0.5769931487452717,0.5769075261407273,TimesFM_ZS
cucumber_bdadagi_ea100_mid,0.5971826249945431,1.6341265759563974,0.6256201024822771,0.584639884187908,TimesFM_ZS
cucumber_bdadagi_ea100_premium,0.591579016275857,1.8045588571620848,0.5699173268941832,0.4904388518573124,TimesFM_ZS
garlic_chive_bundle500g_high,0.7775981848863854,1.886681670863251,0.6159508916226728,0.6578269706692915,TimesFM_LoRA
garlic_chive_bundle500g_low,0.7798143190866502,1.821079700235461,0.6917125980714011,0.7058734323974335,TimesFM_LoRA
garlic_chive_bundle500g_mid,0.812728450959284,1.8311367885958052,0.6627343067899849,0.6959235553998553,TimesFM_LoRA
honewort_kg4_high,1.0863104787161295,2.976210443125135,0.9995259666033856,1.0105725067896607,TimesFM_LoRA
honewort_kg4_low,1.1171457800854263,2.782806504481206,1.0706566859673778,1.057026119776326,TimesFM_ZS
honewort_kg4_mid,1.139374457699205,2.920544836358459,1.094603164901686,1.0785067166713809,TimesFM_ZS
napa_cabbage_net10kg_high,0.8987836638139468,2.4051290924185182,0.7700779225867226,0.8009259478312983,TimesFM_LoRA
napa_cabbage_net10kg_low,1.1237442500689465,1.892687178835386,1.0072476602096494,1.0256508197328627,TimesFM_LoRA
napa_cabbage_net10kg_mid,1.0170320955303709,1.8157900766256583,0.9705157999892069,0.9506859680859047,TimesFM_ZS
napa_cabbage_net10kg_premium,1.0285349035286302,3.305968200171335,0.8083160031298937,0.8118268289699161,TimesFM_LoRA
onion_kg1_high,0.5700356408474172,1.5769220369016037,0.37775323509335496,0.3802837387261071,TimesFM_LoRA
onion_kg1_low,0.8863766804969903,1.649838477117238,0.6309093542566865,0.6556372461336201,TimesFM_LoRA
onion_kg1_mid,0.7433889042223478,1.6946587652494896,0.5259316521544357,0.5138293441624874,TimesFM_ZS
onion_kg1_premium,0.4618295184256814,1.5237475043768232,0.32254229170191206,0.3301968673000289,TimesFM_LoRA
perilla_leaf_bunch100_high,0.6719576863608785,1.5575615059001242,0.5540431280642122,0.5030690993285921,TimesFM_ZS
perilla_leaf_bunch100_low,0.6752735626189668,1.3875950777207366,0.5645558953230045,0.5630414733833563,TimesFM_ZS
perilla_leaf_bunch100_mid,0.6776425688016232,1.5037928595349672,0.5837307745843469,0.5435223278798951,TimesFM_ZS
potato_sumi_box20kg_high,0.6625790793794228,2.3631214019696283,0.47619264321346294,0.4823336763970958,TimesFM_LoRA
potato_sumi_box20kg_low,0.9286058254051185,2.0872977994360644,0.836626631884509,0.8670088169774389,TimesFM_LoRA
potato_sumi_box20kg_mid,0.9253071005064616,2.256403286941286,0.7369270887877951,0.7671629262416136,TimesFM_LoRA
potato_sumi_box20kg_premium,0.5191571368608285,1.9678538840056128,0.4390479786398734,0.4549201917675927,TimesFM_LoRA
spinach_box4kg_high,1.223486270203151,4.827501405063427,0.901127636557773,0.8953371469971713,TimesFM_ZS
spinach_box4kg_low,1.0178150470318479,2.863137334448012,0.8934567729938658,0.9201190541751401,TimesFM_LoRA
spinach_box4kg_mid,1.0397476424942025,3.8868572036256435,0.8721225124543859,0.8796212206504331,TimesFM_LoRA
sweetpotato_box10kg_high,0.5765222839545792,1.166565991697365,0.5659039102956719,0.5474174668229829,TimesFM_ZS
sweetpotato_box10kg_low,0.5519490038471259,1.1466922894700051,0.503758270311598,0.4917840484255567,TimesFM_ZS
sweetpotato_box10kg_mid,0.4912742930130849,1.1423833454833625,0.47095359552951765,0.44899413962967316,TimesFM_ZS
sweetpotato_box10kg_premium,0.7175573451569008,1.0961342918490153,0.6732429293398213,0.6802475532023757,TimesFM_LoRA
