RMSE,MAE,MAPE,MASE,model,variant,window,cutoff,item_id,n
6004.365499459906,5990.850532057106,9.258354033688228,1.0072343884889423,timesfm,xreg_b,1,-3,apple_fuji_box10kg_high,3
4457.915460074644,4418.423560718699,17.636433110319103,1.2844790243288366,timesfm,xreg_b,1,-3,apple_fuji_box10kg_low,3
6870.251300868203,5878.890513642876,14.097682248611745,1.3140699301825254,timesfm,xreg_b,1,-3,apple_fuji_box10kg_mid,3
32925.93382735195,22988.888765688647,31.998055002956637,2.4098870693735037,timesfm,xreg_b,1,-3,apple_fuji_box10kg_premium,3
1186.6758920780737,858.1995929819532,13.474095702612921,0.5790366016267691,timesfm,xreg_b,1,-3,cabbage_net8kg_high,3
542.5921052042354,522.7932833583864,16.154582987826835,0.5116402619606175,timesfm,xreg_b,1,-3,cabbage_net8kg_low,3
473.9092342065033,398.55217170981604,8.634096111316254,0.30027959903153645,timesfm,xreg_b,1,-3,cabbage_net8kg_mid,3
3366.9602804201368,3077.872416706005,33.708760365008125,1.9145934060288234,timesfm,xreg_b,1,-3,cabbage_net8kg_premium,3
5368.132738510381,5262.066118423114,18.110918362818854,1.1626536646468983,timesfm,xreg_b,1,-3,carrot_box20kg_high,3
7193.64596036626,6840.572501931838,33.96282765436393,1.892844131171344,timesfm,xreg_b,1,-3,carrot_box20kg_low,3
6402.137009331022,6271.505736183663,24.34240401953661,1.4865205881778414,timesfm,xreg_b,1,-3,carrot_box20kg_mid,3
3770.210521510115,3758.9771097171815,47.06109694663993,0.9947400177270638,timesfm,xreg_b,1,-3,crown_daisy_box4kg_high,3
1590.2735655001743,1562.1533841985365,33.19133418881236,0.545978258288998,timesfm,xreg_b,1,-3,crown_daisy_box4kg_low,3
2311.018644809334,2290.856289625148,36.6182536739863,0.6616730507251275,timesfm,xreg_b,1,-3,crown_daisy_box4kg_mid,3
7349.289304340731,6885.514791979896,10.386178933937858,0.5454678301391316,timesfm,xreg_b,1,-3,cucumber_bdadagi_ea100_high,3
2878.117722957327,2680.4838253047296,5.72147688147124,0.37470371223148863,timesfm,xreg_b,1,-3,cucumber_bdadagi_ea100_low,3
8017.136265014747,7773.562921335208,13.131100767149295,0.7700827758907348,timesfm,xreg_b,1,-3,cucumber_bdadagi_ea100_mid,3
7353.230986239654,6949.1836459867,9.347762949961364,0.4827740117460111,timesfm,xreg_b,1,-3,cucumber_bdadagi_ea100_premium,3
673.2794807960636,666.6029029322195,25.36309867435225,1.3271278360623031,timesfm,xreg_b,1,-3,garlic_chive_bundle500g_high,3
288.4358278869665,287.2247565105852,22.659561385476433,0.8678055142875258,timesfm,xreg_b,1,-3,garlic_chive_bundle500g_low,3
516.3349652863149,515.0807581822013,27.33318988942232,1.1982638761645235,timesfm,xreg_b,1,-3,garlic_chive_bundle500g_mid,3
4444.033065695821,4395.6452352571405,46.57135669839385,1.2838588015832135,timesfm,xreg_b,1,-3,honewort_kg4_high,3
2433.9380889772783,2418.6298372734104,32.86392441187518,0.8159654686054005,timesfm,xreg_b,1,-3,honewort_kg4_low,3
2856.779186778296,2821.314417632228,32.51098996791662,0.8609708612124987,timesfm,xreg_b,1,-3,honewort_kg4_mid,3
529.3674785919351,465.3713675551123,5.032995795400242,0.31477208955635777,timesfm,xreg_b,1,-3,napa_cabbage_net10kg_high,3
550.0270159283826,539.1330705141949,11.094722937867434,0.6073425219589283,timesfm,xreg_b,1,-3,napa_cabbage_net10kg_low,3
532.2319614641144,521.3148527728481,6.941483466017735,0.42995083783615806,timesfm,xreg_b,1,-3,napa_cabbage_net10kg_mid,3
818.0641942030552,729.429291237016,6.465766381947301,0.4204472983322796,timesfm,xreg_b,1,-3,napa_cabbage_net10kg_premium,3
37.78963282953507,35.571223697513496,3.818823984659602,0.3728123910603053,timesfm,xreg_b,1,-3,onion_kg1_high,3
85.90090209531454,83.80934798236638,17.46174241904121,0.8984090563172703,timesfm,xreg_b,1,-3,onion_kg1_low,3
10.37733043548996,8.269036695344994,1.1082562062830112,0.0906834699392863,timesfm,xreg_b,1,-3,onion_kg1_mid,3
21.55061148043089,19.25783395144659,1.8271465702798588,0.16814374163832993,timesfm,xreg_b,1,-3,onion_kg1_premium,3
2322.183397025828,2065.0709096327337,12.022086210208856,0.4033175603755025,timesfm,xreg_b,1,-3,perilla_leaf_bunch100_high,3
1630.684715619721,1307.262872362904,15.135159722157502,0.350747262823709,timesfm,xreg_b,1,-3,perilla_leaf_bunch100_low,3
2316.0200476586206,1685.2724237351856,15.02624186938763,0.36973515407489654,timesfm,xreg_b,1,-3,perilla_leaf_bunch100_mid,3
2658.571887752837,2165.4639081062414,3.1557724961155746,0.4684420315109728,timesfm,xreg_b,1,-3,potato_sumi_box20kg_high,3
4698.623029620837,4270.116391631946,18.897153783359286,1.5083157833638128,timesfm,xreg_b,1,-3,potato_sumi_box20kg_low,3
3591.0364863052796,3013.623497997578,6.534873191781612,0.7757007276864634,timesfm,xreg_b,1,-3,potato_sumi_box20kg_mid,3
7729.221238184433,7408.254344809863,9.786937978480779,1.2421626691724101,timesfm,xreg_b,1,-3,potato_sumi_box20kg_premium,3
3892.780306195035,3885.952639061378,47.89468514479076,0.98531657766965,timesfm,xreg_b,1,-3,spinach_box4kg_high,3
2590.6169387880886,2548.7519546653434,61.30055938118443,1.1861535777097119,timesfm,xreg_b,1,-3,spinach_box4kg_low,3
