RMSE,MAE,MAPE,MASE,model,variant,window,cutoff,item_id,n
9858.041178830184,8299.998730900714,12.167448335807052,1.3954686569866988,timesfm,xreg_a,1,-3,apple_fuji_box10kg_high,3
5380.4363144005865,5328.6339018784265,21.269482831984625,1.5490860894687597,timesfm,xreg_a,1,-3,apple_fuji_box10kg_low,3
5396.406467697511,3822.184160529716,9.360403774639504,0.854347816363696,timesfm,xreg_a,1,-3,apple_fuji_box10kg_mid,3
33116.9896295363,23765.148551548602,32.76148091519131,2.491261094864053,timesfm,xreg_a,1,-3,apple_fuji_box10kg_premium,3
1346.152226539522,1071.5223115565968,16.44153602476882,0.7229677605592143,timesfm,xreg_a,1,-3,cabbage_net8kg_high,3
216.8201042062765,165.16133503401866,4.95096035076133,0.1616378622535627,timesfm,xreg_a,1,-3,cabbage_net8kg_low,3
264.5067747326959,181.69807186762895,3.8738950621362385,0.13689606540380353,timesfm,xreg_a,1,-3,cabbage_net8kg_mid,3
3122.85271395639,2891.300872855367,31.50894763671761,1.7985364032530748,timesfm,xreg_a,1,-3,cabbage_net8kg_premium,3
3610.2551648044523,3433.692023505658,11.765418282023997,0.7586743542466207,timesfm,xreg_a,1,-3,carrot_box20kg_high,3
5326.978931909234,4791.493239604341,23.365866302564385,1.3258466094133097,timesfm,xreg_a,1,-3,carrot_box20kg_low,3
4338.201618431774,4115.89179522371,15.87643887350655,0.9755803709167049,timesfm,xreg_a,1,-3,carrot_box20kg_mid,3
1482.3733530765562,1421.5777318762648,17.790735082620344,0.37619283569231127,timesfm,xreg_a,1,-3,crown_daisy_box4kg_high,3
843.2125742702167,805.8250972106749,17.62487873862941,0.28163878624913014,timesfm,xreg_a,1,-3,crown_daisy_box4kg_low,3
1208.2224818973375,1055.029702156623,17.525868783025402,0.3047265447392262,timesfm,xreg_a,1,-3,crown_daisy_box4kg_mid,3
5471.331838124868,4721.568092902868,7.0616662267201145,0.37404080599605,timesfm,xreg_a,1,-3,cucumber_bdadagi_ea100_high,3
2903.8487526540343,2349.488383420183,4.965653207386083,0.32843399792282574,timesfm,xreg_a,1,-3,cucumber_bdadagi_ea100_low,3
6279.711997457237,5805.668179441888,9.749632181286122,0.5751346085145206,timesfm,xreg_a,1,-3,cucumber_bdadagi_ea100_mid,3
4743.33954217373,3680.7996371878303,4.869730465056307,0.25571268479926884,timesfm,xreg_a,1,-3,cucumber_bdadagi_ea100_premium,3
334.8866402881871,327.3909521080744,12.478650601493307,0.6517968102244297,timesfm,xreg_a,1,-3,garlic_chive_bundle500g_high,3
100.95077733734766,89.06409021875281,7.046841709362049,0.269093477720424,timesfm,xreg_a,1,-3,garlic_chive_bundle500g_low,3
226.04540872891798,222.82131204522202,11.820402516255823,0.5183628485864078,timesfm,xreg_a,1,-3,garlic_chive_bundle500g_mid,3
2867.0975843931124,2745.5946960872825,29.232344456993914,0.8019200202687967,timesfm,xreg_a,1,-3,honewort_kg4_high,3
1387.5740210104113,1317.6551996418384,17.926624608514654,0.4445331509050408,timesfm,xreg_a,1,-3,honewort_kg4_low,3
1555.379544172013,1434.4393275349491,16.552478311434125,0.43774293835045797,timesfm,xreg_a,1,-3,honewort_kg4_mid,3
430.76185225939577,419.24302341166305,4.486615173127566,0.2835713834405292,timesfm,xreg_a,1,-3,napa_cabbage_net10kg_high,3
436.873254271322,414.88172244506677,9.03361677694275,0.4673712769727353,timesfm,xreg_a,1,-3,napa_cabbage_net10kg_low,3
479.17603590911324,364.99123633135815,5.155229647182375,0.3010240107850923,timesfm,xreg_a,1,-3,napa_cabbage_net10kg_mid,3
591.8188597829118,487.17149086220525,4.339974094803689,0.2808084890725439,timesfm,xreg_a,1,-3,napa_cabbage_net10kg_premium,3
40.74909770875743,36.28051072896642,3.917180874671198,0.38024623692382314,timesfm,xreg_a,1,-3,onion_kg1_high,3
93.40783050344683,91.61177202928756,19.069825333612897,0.9820485141311708,timesfm,xreg_a,1,-3,onion_kg1_low,3
64.69143838484261,64.64318108314535,8.582952904683637,0.7089178805837528,timesfm,xreg_a,1,-3,onion_kg1_mid,3
