variant,crop,LoRA,ZS,LoRA_gain_pct
baseline,apple,0.1623843603210518,0.16413304138057944,1.07
baseline,cabbage,0.15372549120521603,0.16062295676089827,4.29
baseline,carrot,0.1084216411358144,0.10784838757669483,-0.53
baseline,crown,0.199138963979203,0.21312132998471509,6.56
baseline,cucumber,0.12314414412888373,0.1314371913625292,6.31
baseline,garlic,0.13782780173574458,0.14524406934452042,5.11
baseline,honewort,0.1767894950273829,0.19617008166518624,9.88
baseline,napa,0.1528165981382231,0.15712655274323362,2.74
baseline,onion,0.06393776498156206,0.06811893977166338,6.14
baseline,perilla,0.13083400915083884,0.14770066747548974,11.42
baseline,potato,0.09497777732596588,0.10173990142022714,6.65
baseline,spinach,0.1353739922445221,0.14236577834052777,4.91
baseline,sweetpotato,0.07524866691108231,0.07732277292272402,2.68
no_weather,apple,0.1630587540324016,0.16504253815547293,1.2
no_weather,cabbage,0.15217314388542225,0.15972145521044914,4.73
no_weather,carrot,0.10904579948723844,0.1055970778519611,-3.27
no_weather,crown,0.19933637455299258,0.21957180276983435,9.22
no_weather,cucumber,0.12328460357444286,0.13583002684095075,9.24
no_weather,garlic,0.14026724379528854,0.15157979379726133,7.46
no_weather,honewort,0.17526419395219411,0.2000265504876625,12.38
no_weather,napa,0.1537520640494039,0.15512246215614955,0.88
no_weather,onion,0.06552522929859024,0.06896187342176041,4.98
no_weather,perilla,0.13302796176053117,0.15100031450073206,11.9
no_weather,potato,0.09354362147566953,0.10048999585181122,6.91
no_weather,spinach,0.13469108350767983,0.14308695168095595,5.87
no_weather,sweetpotato,0.07587411765816564,0.07781008804136899,2.49
optimal,apple,0.16532842991567023,0.1660052605430356,0.41
optimal,cabbage,0.15463825487209598,0.1636467952164152,5.5
optimal,carrot,0.10625485882150705,0.10567304840592857,-0.55
optimal,crown,0.20067077225390717,0.21691831440712683,7.49
optimal,cucumber,0.12748535091517132,0.1378594948562351,7.53
optimal,garlic,0.14258531511331815,0.15371908879441668,7.24
optimal,honewort,0.18319546700603787,0.19937286251871228,8.11
optimal,napa,0.15342062680161506,0.15827082734423076,3.06
optimal,onion,0.0658685393365526,0.06885519554903223,4.34
optimal,perilla,0.1452402868245168,0.15636954140633894,7.12
optimal,potato,0.09655279980481536,0.10344661100882546,6.66
optimal,spinach,0.13487825140584458,0.14205766816733062,5.05
optimal,sweetpotato,0.07693801479553859,0.07830520352426763,1.75
