variant,model,WQL,CRPS,PICP@60,PICP@80,MSIS@80,Sharpness@80,pinball@0.1,pinball@0.2,pinball@0.3,pinball@0.4,pinball@0.5,pinball@0.6,pinball@0.7,pinball@0.8,pinball@0.9
baseline,Chronos2LoRA_baseline,0.1297847156927926,3195.0109601144904,0.5890417036379769,0.7891748003549246,5.220885169323204,12187.396600196926,849.7021409182599,1364.57298464665,1713.5138998518123,1930.269481235185,2031.4683663822057,2012.2511671187372,1864.5581540057788,1562.1759174524202,1049.0372089041578
baseline,Chronos2ZS_baseline,0.1369425297523657,3361.2518330000157,0.5729813664596274,0.7832298136645963,5.483184471330651,12788.07015546445,894.5780236441394,1432.095874259826,1798.303015582131,2026.481558013306,2133.8056158812637,2116.6784507062857,1966.527197357453,1651.8728536744577,1105.2906593812074
no_weather,Chronos2LoRA_no_weather,0.1300813936318295,3193.126500082393,0.5717834960070984,0.7717391304347826,5.205719855934436,12095.27076168788,833.5369954813431,1347.097454809645,1698.0946482896195,1921.786510415916,2027.6176033384484,2010.9999328661663,1872.1170146286147,1583.1957490613188,1074.6233414796943
no_weather,Chronos2ZS_no_weather,0.1383587224342842,3403.8088902067184,0.5704968944099379,0.779547471162378,5.514646481004328,12983.856811872074,902.0282073368976,1456.3490117383135,1829.682823132148,2059.4471705244,2163.8489399004816,2139.2928107777398,1982.7089361712224,1666.437698029548,1117.3444083194815
optimal,Chronos2LoRA_optimal,0.1325957156530703,3269.7960417857294,0.5670807453416149,0.7736024844720497,5.319368499606572,12271.401455456957,870.4105403952299,1397.2219341185898,1757.0733397066176,1978.762675843683,2078.165685929859,2051.569172995788,1902.144562012116,1599.802821647338,1078.9314553865604
optimal,Chronos2ZS_optimal,0.1397367200710376,3431.397289109808,0.5521739130434782,0.7675244010647737,5.56640275986365,13015.676292541288,915.7248176283445,1468.0672529274773,1842.4163134029936,2075.366249755452,2178.995283563122,2156.565352932254,1999.858193722356,1679.3309898724117,1124.9633471897257
optimal_plus,Chronos2LoRA_optimal_plus,0.1312067825787747,3230.434217097588,0.5554125998225378,0.7643300798580301,5.294279610083077,11850.464573908404,848.5549281836128,1370.719022103446,1731.24708272562,1950.556179305545,2048.8226513193745,2025.9019993643756,1885.900992307361,1594.1938286038087,1081.057293026003
optimal_plus,Chronos2ZS_optimal_plus,0.1387039937709223,3414.724808139719,0.5571872227151731,0.771606033717835,5.531388515413114,13116.863131738915,909.4877489493028,1461.7994189237322,1836.03418750789,2066.665842016121,2169.23954381111,2146.0822048273258,1989.4076221166736,1669.5524772133688,1117.9925912632098
